k,F1
1,0.06738721804511277
2,0.312437343358396
3,0.47603383458646614
4,0.4988721804511279
5,0.5737468671679198
6,0.6018170426065164
7,0.6411967418546365
8,0.6446428571428571
9,0.6731516290726817
10,0.6748746867167921
11,0.7068609022556391
12,0.712218045112782
13,0.7140037593984963
14,0.7051378446115287
15,0.7140350877192982
16,0.7157581453634084
17,0.7105889724310777
18,0.7281954887218045
19,0.7175438596491228
20,0.7209586466165414
21,0.7246553884711778
22,0.7264097744360902
23,0.731892230576441
24,0.7460839598997494
25,0.7549812030075188
26,0.756735588972431
27,0.7674185463659147
28,0.7584273182957393
29,0.7602443609022556
30,0.756578947368421
31,0.7601817042606517
32,0.7566102756892231
33,0.7530701754385964
34,0.756610275689223
35,0.761936090225564
36,0.7531015037593984
37,0.756672932330827
38,0.769078947368421
39,0.756641604010025
40,0.7619674185463658
41,0.7513784461152881
42,0.756641604010025
43,0.7531328320802004
44,0.7531015037593984
45,0.7513471177944864
46,0.7530701754385966
47,0.7708646616541353
48,0.7637531328320801
49,0.7743421052631579
50,0.7743734335839598
51,0.7780388471177945
52,0.7797305764411028
53,0.7744674185463659
54,0.7797619047619048
55,0.7779761904761904
56,0.7904448621553886
57,0.7816416040100251
58,0.7851190476190476
59,0.781641604010025
60,0.7833646616541353
61,0.7727756892230577
62,0.7886591478696741
63,0.7851503759398497
64,0.7957706766917294
65,0.7798245614035088
66,0.7904135338345865
67,0.7886591478696742
68,0.7975877192982456
69,0.7958646616541353
70,0.8082706766917294
71,0.8012218045112782
72,0.8082393483709274
73,0.7852130325814537
74,0.7975563909774435
75,0.7869047619047619
76,0.7904448621553885
77,0.781610275689223
78,0.7851817042606515
79,0.7798872180451129
80,0.786967418546366
81,0.7833959899749374
82,0.7833333333333333
83,0.7673558897243108
84,0.7708020050125313
85,0.76203007518797
86,0.7655075187969925
87,0.7602130325814537
88,0.7673245614035087
89,0.7602756892230577
90,0.7602130325814536
91,0.7567355889724311
92,0.7602443609022557
93,0.7656954887218045
94,0.7585526315789474
95,0.756735588972431
96,0.7584586466165414
97,0.7550125313283208
98,0.7620614035087719
99,0.7567669172932331
